artist,tier,total_shows,arena_shows,amphitheater_shows,theater_shows,club_shows,festival_shows,unique_cities,primary_venue_tier,signal_summary,analyst_note
Lauren Spencer Smith,1 — Arena-testing now,65,8,3,27,27,1,63,Theater,65 dates (heavy touring); 8 arena shows (testing up); 1 festival; 27 theaters; 63 cities,Canadian pop singer with viral TikTok breakout; 65 dates is an enormous volume for someone still split between clubs and theaters — 8 arena tests signal strong demand. Watch for majority-arena next cycle.
Jessie Murph,1 — Arena-testing now,56,4,13,23,16,1,56,Theater,56 dates (heavy touring); 4 arena shows (testing up); 1 festival; 13 amphitheaters; 23 theaters; 56 cities,"Alabama singer-songwriter, 20 years old; touring 56 dates across every tier simultaneously — rare versatility. 4 arena dates alongside 23 theaters suggests demand is outpacing her current booking tier."
CA7RIEL & Paco Amoroso,1 — Arena-testing now,55,16,4,20,11,0,55,Theater,55 dates (heavy touring); 16 arena shows (testing up); 20 theaters; 55 cities,"Argentine urban duo; already arena-level in LatAm (16 arena shows). US/Europe tour is the expansion play — if US demand holds, full arena routing follows."
Charlie Puth,1 — Arena-testing now,48,15,8,17,0,3,48,Theater,48 dates (heavy touring); 15 arena shows (testing up); 3 festival slots; 8 amphitheaters; 17 theaters; 48 cities,15 arenas already but still heavily in theaters (17). Established name from streaming era testing full arena commitment — 3 festival slots add visibility.
OsamaSon,1 — Arena-testing now,42,4,0,18,18,0,42,Theater,42 dates (heavy touring); 4 arena shows (testing up); 18 theaters; 42 cities,"DMV rapper, 42 dates with 4 arena tests from a club/theater base. Rapid ramp — went from club-only to arena-testing in one cycle."
Baby Keem,1 — Arena-testing now,38,3,4,17,14,1,37,Theater,38 dates (heavy touring); 3 arena shows (testing up); 1 festival; 17 theaters; 37 cities,"pgLang / Kendrick Lamar affiliate; 38 dates, 3 arenas + 17 theaters. Natural arena candidate given the Kendrick co-sign and Grammy win. Theater-headliner ready to graduate."
$UICIDEBOY$,1 — Arena-testing now,36,5,28,0,0,1,36,Amphitheater,36 dates (heavy touring); 5 arena shows (testing up); 1 festival; 28 amphitheaters; 36 cities,"New Orleans rap duo; 36 amphitheater dates is a full shed-headliner run. 5 arena tests (Climate Pledge, Amerant Bank) signal the jump. Huge outdoor festival draw."
Kevin Gates,1 — Arena-testing now,36,10,9,11,6,1,36,Theater,36 dates (heavy touring); 10 arena shows (testing up); 1 festival; 9 amphitheaters; 11 theaters; 36 cities,Baton Rouge rapper; 10 arena shows amid 36 total is already ~28% arena. Approaching the tipping point — one more cycle likely majority arena.
The Kid Laroi,1 — Arena-testing now,35,8,8,10,9,0,35,Theater,35 dates (heavy touring); 8 arena shows (testing up); 8 amphitheaters; 10 theaters; 35 cities,"Australian rapper/singer; already proven arena-capable in AU/NZ, now testing US arenas (8 shows). 35 dates across all tiers — the US arena breakout is the question mark."
Caamp,1 — Arena-testing now,31,8,17,5,0,3,29,Amphitheater,31 dates (heavy touring); 8 arena shows (testing up); 3 festival slots; 17 amphitheaters; 29 cities,Columbus OH indie-folk; jumped from theater headliner to 8 arena shows + 17 amphitheaters + 3 festivals in one tour cycle. Classic breakout trajectory.
