Headline,Link,Announcement Date,Artist Names,Start Date,End Date,Number of Shows,Notes
"Global K-pop Force aespa Unveils Details of Upcoming World Tour, 2026-27 aespa LIVE TOUR – SYNK : COMPLæXITY",https://newsroom.livenation.com/news/global-k-pop-force-aespa-unveils-details-of-upcoming-world-tour-2026-27-aespa-live-tour-synk-complaexity/,,aespa,"Aug 07, 2026","Feb 02, 2027",20,"Upcoming world tour, 2026-27 aespa LIVE TOUR – SYNK : COMPLæXITY"
OCESA and GNP Seguros Reinvent the Live Entertainment Experience with the New Coliseo GNP Seguros,https://newsroom.livenation.com/news/ocesa-and-gnp-seguros-reinvent-the-live-entertainment-experience-with-the-new-coliseo-gnp-seguros/,,Alejandro Sanz & Yuridia & Los Auténticos Decadentes & Los Caligaris & Panteón Rococó,"Aug 01, 2026",,,The Coliseo GNP Seguros will host major performances as part of its reopening.
"beabadoobee details first ever arena tour starting 1 October across North America, UK & Europe",https://newsroom.livenation.com/news/beabadoobee/,,beabadoobee,"Oct 01, 2026","Dec 07, 2026",20,"First ever arena tour across North America, UK & Europe."
Beck Ride Lonesome Single & Tour,https://newsroom.livenation.com/news/beck-ride-lonesome-single-tour/,,Beck,"Sep 16, 2026","Oct 31, 2026",25,Ride Lonesome Tour
“BRAD PAISLEY LIVE” Tour Announces New Dates,https://newsroom.livenation.com/news/brad-paisley-live-tour-announces-new-dates/,,Brad Paisley,"Aug 27, 2026","Oct 10, 2026",20,Tour includes various festival dates and special guests.
Bryson Tiller Presents: The Neo Trapsoul Tour,https://newsroom.livenation.com/news/bryson-tiller-presents-the-neo-trapsoul-tour/,,Bryson Tiller,"Aug 27, 2026","Jan 19, 2027",61,"Tour includes support from Majid Jordan, Ty Dolla $ign, and Austin Millz on select dates."
Cameron Whitcomb Announces Largest Us Headline Run to Date: “The Kingdom of Fear Tour”,https://newsroom.livenation.com/news/cameron-whitcomb-announces-largest-us-headline-run-to-date-the-kingdom-of-fear-tour/,,Cameron Whitcomb,"Sep 24, 2026","Oct 31, 2026",,The Kingdom of Fear Tour features some of the biggest headline shows of his career.
Chance the Rapper Announces the Coloring Book 10 Year Anniversary Tour,https://newsroom.livenation.com/news/chance-the-rapper-announces-the-coloring-book-10-year-anniversary-tour/,,Chance the Rapper,"Aug 11, 2026","Oct 11, 2026",30,North American tour celebrating the 10th anniversary of the mixtape Coloring Book.
"Charli xcx Announces the ‘Music, Fashion, Film Tour’",https://newsroom.livenation.com/news/charli-xcx-announces-the-music-fashion-film-tour/,,Charli xcx,"Jun 08, 2026","Oct 23, 2026",15,Tour includes special guest underscores and features 'Angel Tickets' for charity.
Dan + Shay Hit the Road This Fall With ‘The Young Tour’,https://newsroom.livenation.com/news/dan-shay-hit-the-road-this-fall-with-the-young-tour/,,Dan + Shay,"Sep 11, 2026","Nov 07, 2026",26,Featuring Special Guests Tyler Hubbard and Josh Ross
