venue_name,venue_city,venue_type,is_venue_nation,vn_status,confidence,rationale,primary_source,secondary_sources,last_verified
Madison Square Garden,"New York, NY",Arena,False,Third-party,High,Seed list third-party entry: Owned by MSG Entertainment Corp (separate listed entity).,seed_known_venues.yaml,,2026-04-16
The Kia Forum,"Los Angeles, CA",Arena,False,Third-party,High,Seed list third-party entry: Kroenke.,seed_known_venues.yaml,,2026-04-16
Arizona Financial Theatre,"Phoenix, AZ",Theater,True,LN operated (co-operator with Phoenix Downtown Theatre LLC since 2007),High,Listed on en.wikipedia.org as LN operated (co-operator with Phoenix Downtown Theatre LLC since 2007); bulk-extracted from canonical source.,https://en.wikipedia.org/wiki/Arizona_Financial_Theatre,,2026-04-16
Climate Pledge Arena,"Seattle, WA",Arena,False,Third-party,High,Seed list third-party entry: OVG operated; Kraken/Climate Pledge owned.,seed_known_venues.yaml,,2026-04-16
TD Garden,"Boston, MA",Arena,False,Third-party,High,Seed list third-party entry: Owned by Delaware North / Bruins.,seed_known_venues.yaml,,2026-04-16
MGM Music Hall at Fenway,"Boston, MA",Theater,True,LN/Fenway JV,High,Seed list entry — treated as human-verified ground truth per task brief (LN/Fenway JV).,seed_known_venues.yaml,,2026-04-16
Moody Center,"Austin, TX",Arena,False,Third-party,High,Seed list third-party entry: OVG operated; UT Austin owned.,seed_known_venues.yaml,,2026-04-16
United Center,"Chicago, IL",Arena,False,Third-party,High,Seed list third-party entry: Owned by Bulls/Blackhawks JV.,seed_known_venues.yaml,,2026-04-16
RBC Amphitheatre,"Toronto, ON",Amphitheater,True,LN Canada operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN Canada operated).,seed_known_venues.yaml,,2026-04-16
The Pavilion at Toyota Music Factory,"Irving, TX",Amphitheater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Pine Knob Music Theatre,"Clarkston, MI",Amphitheater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Coca-Cola Roxy,"Atlanta, GA",Club,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Kia Center,"Orlando, FL",Arena,False,Third-party,High,Seed list third-party entry: Owned by City of Orlando; Magic operated.,seed_known_venues.yaml,,2026-04-16
State Farm Arena,"Atlanta, GA",Arena,False,Third-party,High,Seed list third-party entry: Owned by Atlanta Hawks.,seed_known_venues.yaml,,2026-04-16
Bell Centre,"Montreal, QC",Arena,False,Third-party,High,Seed list third-party entry: Owned by Groupe CH / Canadiens.,seed_known_venues.yaml,,2026-04-16
Brooklyn Paramount,"Brooklyn, NY",Theater,True,LN operated (reopened 2024),High,Seed list entry — treated as human-verified ground truth per task brief (LN operated (reopened 2024)).,seed_known_venues.yaml,,2026-04-16
Ruoff Music Center,"Noblesville, IN",Amphitheater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Scotiabank Arena,"Toronto, ON",Arena,False,Third-party,High,Seed list third-party entry: Owned by MLSE.,seed_known_venues.yaml,,2026-04-16
The O2,"London, UK",Arena,False,Third-party,High,Seed list third-party entry: Owned by AEG.,seed_known_venues.yaml,,2026-04-16
Xfinity Center,"Mansfield, MA",Arena,True,LN owned,High,Seed list entry — treated as human-verified ground truth per task brief (LN owned).,seed_known_venues.yaml,,2026-04-16
Fillmore Auditorium,"Denver, CO",Theater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Kaseya Center,"Miami, FL",Arena,False,Third-party,High,Seed list third-party entry: Owned by Miami Heat.,seed_known_venues.yaml,,2026-04-16
Little Caesars Arena,"Detroit, MI",Theater,False,Third-party,High,Seed list third-party entry: Owned by Olympia Entertainment / Ilitch.,seed_known_venues.yaml,,2026-04-16
Morton Amphitheater,"Kansas City, MO",Amphitheater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
PNC Bank Arts Center,"Holmdel, NJ",Arena,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Bridgestone Arena,"Nashville, TN",Arena,False,Third-party,High,Seed list third-party entry: Owned by Predators.,seed_known_venues.yaml,,2026-04-16
Riverbend Music Center,"Cincinnati, OH",Amphitheater,True,LN operated,High,Seed list entry — treated as human-verified ground truth per task brief (LN operated).,seed_known_venues.yaml,,2026-04-16
Rogers Arena,"Vancouver, BC",Arena,False,Third-party,High,Seed list third-party entry: Owned by Aquilini / Canucks.,seed_known_venues.yaml,,2026-04-16
Xfinity Mobile Arena,"Philadelphia, PA",Arena,False,Third-party,High,Seed list third-party entry: Comcast Spectacor; renamed Wells Fargo Center.,seed_known_venues.yaml,,2026-04-16
